,OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN,nearestStation,start,end,max_temperature,min_temperature,avg_temperature,departure_temperature,hdd,cdd,percipitation
139,140,WAWFS,WA FIRE SERVICE,SEEP LAKES,813,1901.06872278,2008,MISCELLANEOUS,82810222.322295,66657.0701258865,"(-121.333333, 47.283333)",2008-06-29,2008-06-30 00:00:00,87.0,59.0,73.0,73.0,0.0,8.5,0.015
140,141,WANES,WA DNR - NE REGION,SPOKANE VALLEY,378,1005.79276005,2008,UNKNOWN,43812157.378674,35497.9154127391,"(-121.067222, 48.732778)",2008-07-10,2008-07-13 00:00:00,81.5,51.75,66.625,66.625,1.5,3.25,0.0
141,142,WANES,WA DNR - NE REGION,SWANSON LAKE,866,18038.73104031,2008,UNKNOWN,785763981.05036,335668.382660988,"(-121.067222, 48.732778)",2008-08-18,2008-08-26 00:00:00,72.33333333333333,54.333333333333336,63.333333333333336,63.333333333333336,3.5555555555555554,2.111111111111111,0.23555555555555552
142,143,WACOA,COLVILLE AGENCY,WILMONT,180,148.8113823,2008,LIGHTNING,6482197.8839135,15159.964276055201,"(-121.067222, 48.732778)",2008-07-13,2008-07-14 00:00:00,87.5,53.5,70.5,70.5,0.0,5.5,0.0
143,144,WAYAA,BIA - YAKIMA,RANSIER ROAD,UNKNOWN,354.17699465,2009,UNKNOWN,15427888.1753265,25521.050790917998,"(-121.67333064, 46.602330924)",2009-06-29,2009-06-29 00:00:00,75.0,45.0,60.0,60.0,5.0,0.0,0.0
144,145,WASES,WA DNR - SE REGION,FORREST,UNKNOWN,255.38194915,2009,UNKNOWN,11124393.207293,20636.5269555278,"(-121.67333064, 46.602330924)",2009-07-11,2009-07-12 00:00:00,73.5,51.0,62.25,62.25,4.0,1.5,0.0
145,146,WAHNC,HANFORD,ENW,UNKNOWN,3.22583479,2009,UNKNOWN,140516.8014825,1402.2479238026701,"(-121.333333, 47.283333)",2009-07-17,2009-07-17 00:00:00,79.0,60.0,69.5,69.5,0.0,5.0,0.0
146,147,WACOA,COLVILLE AGENCY,FISH HATCHERY,UNKNOWN,237.13494544,2009,LIGHTNING,10329556.9050565,17026.8751184322,"(-121.067222, 48.732778)",2009-07-23,2009-07-25 00:00:00,81.33333333333333,58.333333333333336,69.83333333333333,69.83333333333333,0.3333333333333333,5.333333333333333,0.0
147,148,WACOA,COLVILLE AGENCY,OWHI TREE,UNKNOWN,10.45928908,2009,LIGHTNING,455604.809773,2886.5819851546903,"(-121.067222, 48.732778)",2009-07-23,2009-07-25 00:00:00,81.33333333333333,58.333333333333336,69.83333333333333,69.83333333333333,0.3333333333333333,5.333333333333333,0.0
148,149,WACOA,COLVILLE AGENCY,JOHNSON LAKE,165,711.99459944,2009,LIGHTNING,31014360.693884,34222.1710171628,"(-121.067222, 48.732778)",2009-07-23,2009-07-25 00:00:00,81.33333333333333,58.333333333333336,69.83333333333333,69.83333333333333,0.3333333333333333,5.333333333333333,0.0
149,150,WAMSF,MT. BAKER-SNOQ NF,DEER 1,UNKNOWN,0.53222827,2009,UNKNOWN,23183.7707145,949.116346488596,"(-121.7462513, 48.5392813)",2009-07-30,2009-08-05 00:00:00,88.57142857142857,59.57142857142857,74.07142857142857,74.07142857142857,0.0,9.428571428571429,0.0
150,151,WAWFS,WA FIRE SERVICE,UNION VALLEY,UNKNOWN,524.69205564,2009,LIGHTNING,22855494.521611,28426.7301425317,"(-121.067222, 48.732778)",2009-07-29,2009-08-01 00:00:00,91.5,63.5,77.5,77.5,0.0,12.75,0.0
152,153,WAWFS,WA FIRE SERVICE,MILEPOST 31,208,1127.69544198,2012,UNKNOWN,49122216.963129,52351.1518469105,"(-121.333333, 47.283333)",2012-06-13,2012-06-14 00:00:00,47.0,38.0,42.5,42.5,22.5,0.0,0.055
153,154,WAWFS,WA FIRE SERVICE,AVERY,UNKNOWN,264.60167397,2009,UNKNOWN,11526002.8137875,24637.4544313597,"(-121.67333064, 46.602330924)",2009-08-13,2009-08-13 00:00:00,65.0,51.0,58.0,58.0,7.0,0.0,0.27
154,155,WACOA,COLVILLE AGENCY,CAMERON LAKE,167,131.1028321,2013,LIGHTNING,5710816.5231055,9383.725169775049,"(-121.067222, 48.732778)",2013-08-07,2013-08-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,156,WACOA,COLVILLE AGENCY,BUFFALO LAKE,0254,328.63973445,2009,ARSON,14315489.5705185,16752.5926218895,"(-121.067222, 48.732778)",2009-08-21,2009-08-21 00:00:00,92.0,60.0,76.0,76.0,0.0,11.0,0.0
156,157,WACOF,COLVILLE NF,SLEEPY,024,1401.85056765,2001,UNKNOWN,61064366.46875,49277.5379725204,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
157,158,WAOWF,OKAN-WEN NF,DISCOVERY,UNKNOWN,4120.2867889,2009,UNKNOWN,179478974.606471,66560.7776834606,"(-121.67333064, 46.602330924)",2009-07-28,2009-08-08 00:00:00,85.83333333333333,58.333333333333336,72.08333333333333,72.08333333333333,1.1666666666666667,8.416666666666666,0.0
158,159,WAMCR,MID COLUMBIA NWR,DRY CREEK COMPLEX,UNKNOWN,48901.64865507,2009,UNKNOWN,2130147294.80012,515045.110673204,"(-121.333333, 47.283333)",2009-08-21,2009-08-23 00:00:00,60.0,45.333333333333336,52.666666666666664,52.666666666666664,12.0,0.0,0.0
159,160,WASES,WA DNR - SE REGION,HIGH HILL,UNKNOWN,98.61899503,2009,UNKNOWN,4295826.239968,15860.7734913992,"(-121.333333, 47.283333)",2009-08-20,2009-08-22 00:00:00,69.0,49.333333333333336,59.166666666666664,59.166666666666664,7.0,1.3333333333333333,0.0
160,161,WASES,WA DNR - SE REGION,SR-17,UNKNOWN,897.49516605,2009,UNKNOWN,39094733.053676,26698.211706065198,"(-121.333333, 47.283333)",2009-08-20,2009-08-23 00:00:00,66.0,47.5,56.75,56.75,9.0,1.0,0.0
161,162,WASES,WA DNR - SE REGION,B.5,UNKNOWN,282.12277067,2009,UNKNOWN,12289218.7332705,19226.8184619792,"(-121.333333, 47.283333)",2009-08-20,2009-08-23 00:00:00,66.0,47.5,56.75,56.75,9.0,1.0,0.0
162,163,WASES,WA DNR - SE REGION,TRAIL,UNKNOWN,63.30774201,2009,CAMPFIRE,2757674.211368,8164.279547382871,"(-121.333333, 47.283333)",2009-07-05,2009-07-07 00:00:00,61.333333333333336,46.666666666666664,54.0,54.0,10.666666666666666,0.0,0.023333333333333334
163,164,WASES,WA DNR - SE REGION,OAK CREEK,UNKNOWN,150.41144852,2009,UNKNOWN,6551896.490018,14181.7471612622,"(-121.333333, 47.283333)",2009-07-15,2009-07-17 00:00:00,76.66666666666667,54.333333333333336,65.5,65.5,1.6666666666666667,2.3333333333333335,0.0
164,165,WASES,WA DNR - SE REGION,NAHAHUM,UNKNOWN,48.50436303,2009,UNKNOWN,2112841.602133,6816.9416600241,"(-121.333333, 47.283333)",2009-08-19,2009-08-19 00:00:00,86.0,61.0,73.5,73.5,0.0,9.0,0.0
165,166,WASES,WA DNR - SE REGION,LAKE ENTIAT,UNKNOWN,182.4252547,2009,UNKNOWN,7946412.309018,17552.2923630496,"(-121.333333, 47.283333)",2009-06-02,2009-06-02 00:00:00,70.0,55.0,62.5,62.5,2.0,0.0,0.0
166,167,WASES,WA DNR - SE REGION,HALE STORM,UNKNOWN,54.80694637,2009,UNKNOWN,2387381.0342245,8682.60643481067,"(-121.333333, 47.283333)",2009-07-31,2009-08-05 00:00:00,79.0,58.166666666666664,68.58333333333333,68.58333333333333,1.0,4.833333333333333,0.0
167,168,WANES,WA DNR - NE REGION,ODEN ROAD,1262,9607.49330354,2009,LIGHTNING,418500734.294016,118315.075555017,"(-121.067222, 48.732778)",2009-08-22,2009-08-26 00:00:00,74.8,52.0,63.4,63.4,2.0,0.4,0.0
168,169,WACOA,COLVILLE AGENCY,MILEPOST 38,304,1910.88147461,2009,MISCELLANEOUS,83237664.0821975,52565.665526775,"(-121.067222, 48.732778)",2009-09-16,2009-09-18 00:00:00,75.33333333333333,53.0,64.16666666666667,64.16666666666667,1.0,0.6666666666666666,0.0
169,170,WACOA,COLVILLE AGENCY,CONCRETE PLANT,265,195.80526241,2009,ARSON,8529243.1134775,13279.805590314802,"(-121.067222, 48.732778)",2009-08-27,2009-08-28 00:00:00,82.5,52.5,67.5,67.5,0.0,2.5,0.0
170,171,WANCP,NORTH CASCADES NP,BRUSH CREEK,203,391.44204795,2009,LIGHTNING,17051147.4037605,21839.064663088502,"(-121.23, 48.67)",2009-08-02,2009-08-09 00:00:00,79.0,56.875,67.9375,67.9375,0.875,4.0,0.0
171,172,WAOWF,OKAN-WEN NF,PRESTON-FOX,UNKNOWN,1215.98778453,2009,DEBRIS BURN,52968216.020533,32781.8377250089,"(-121.067222, 48.732778)",2009-10-04,2009-10-07 00:00:00,59.75,40.0,49.875,49.875,14.75,0.0,0.0
172,173,WAOWF,OKAN-WEN NF,TWIN PEAKS,UNKNOWN,666.36478804,2009,UNKNOWN,29026734.059872,26803.8586712469,"(-121.67333064, 46.602330924)",2009-09-03,2009-09-25 00:00:00,75.78260869565217,48.82608695652174,62.30434782608695,62.30434782608695,3.130434782608696,0.6956521739130435,0.0765217391304348
173,174,WACCC,COLUMBIA CASCADE,DALLESPORT,001,1179.06539837,2010,POWER LINE,51359883.3127005,33858.6818889129,"(-121.67333064, 46.602330924)",2010-07-12,2010-07-13 00:00:00,64.0,51.0,57.5,57.5,7.0,0.0,0.0
174,175,WASES,WA DNR - SE REGION,SWAKANE,249,19437.00371798,2010,MISCELLANEOUS,846672495.254976,149484.097735367,"(-121.333333, 47.283333)",2010-07-10,2010-07-16 00:00:00,64.71428571428571,46.0,55.357142857142854,55.357142857142854,9.285714285714286,0.0,0.0
175,176,WAYKCN,YAKIMA COUNTY FD,COWICHE MILL,102,6190.6972946,2010,MISCELLANEOUS,269665695.486875,79784.9450002597,"(-121.333333, 47.283333)",2010-07-18,2010-07-19 00:00:00,63.0,45.5,54.25,54.25,10.5,0.0,0.0
176,177,WASPA,SPOKANE AGENCY,LINE,005629,909.85577433,2010,MISCELLANEOUS,39633158.996867,50876.460100917,"(-121.067222, 48.732778)",2010-07-12,2010-07-15 00:00:00,71.5,50.0,60.75,60.75,5.0,1.0,0.035
177,178,WANCP,NORTH CASCADES NP,DEVILS GULCH,298,36.63409036,2010,LIGHTNING,1595774.5931235,7120.94253628609,"(-121.333333, 47.283333)",2010-07-29,2010-08-02 00:00:00,67.6,50.0,58.8,58.8,6.0,0.0,0.052000000000000005
178,179,WANCP,NORTH CASCADES NP,NAHAHUM,346,1947.45079312,2010,LIGHTNING,84830617.224801,64413.38367818051,"(-121.333333, 47.283333)",2010-07-29,2010-08-02 00:00:00,67.6,50.0,58.8,58.8,6.0,0.0,0.052000000000000005
179,180,WANCP,NORTH CASCADES NP,TRIPP CANYON,346,71.54657712,2010,LIGHTNING,3116556.4329475,7583.751268722071,"(-121.333333, 47.283333)",2010-07-29,2010-08-02 00:00:00,67.6,50.0,58.8,58.8,6.0,0.0,0.052000000000000005
180,181,WANCP,NORTH CASCADES NP,RAINBOW BRIDGE,005,4117.8871198,2010,UNKNOWN,179374445.438809,83540.3520720153,"(-121.067222, 48.732778)",2010-07-29,2010-08-02 00:00:00,78.4,56.6,67.5,67.5,1.0,3.8,0.066
181,182,WAOWF,OKAN-WEN NF,VIRGINIA LAKE,UNKNOWN,36683.98601782,2001,UNKNOWN,1597948039.1249,204731.761641437,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
182,183,WAOWF,OKAN-WEN NF,ROCKY HULL,UNKNOWN,9481.85678068,2000,LIGHTNING,413028029.249546,143949.310325764,"(-121.067222, 48.732778)",2000-07-22,2000-07-26 00:00:00,78.4,54.2,66.3,66.3,1.4,2.8,0.08600000000000001
183,184,WAOWF,OKAN-WEN NF,WHISKY MOUNTAIN,353,961.00487006,2007,LIGHTNING,41861204.694356,44857.3237702411,"(-121.067222, 48.732778)",2007-08-18,2007-08-18 00:00:00,76.0,55.0,65.5,65.5,0.0,1.0,0.0
184,185,WA,UNKNOWN,FERN ROAD,UNKNOWN,15.65862786,2002,UNKNOWN,682087.101386,3312.09928206909,"(-121.67333064, 46.602330924)",2002-09-16,2002-09-16 00:00:00,63.0,54.0,58.5,58.5,6.0,0.0,0.03
185,186,ORCGF,COLUMBIA RG NSA,COURTNEY ROAD,UNKNOWN,89.65697123,2001,UNKNOWN,3905442.045127,12162.7240396454,"(-121.67333064, 46.602330924)",2001-07-12,2001-07-12 00:00:00,77.0,53.0,65.0,65.0,0.0,0.0,0.0
187,188,ORCGF,COLUMBIA RG NSA,UNKNOWN,UNKNOWN,93.34318517,2001,UNKNOWN,4066012.881793,8295.525755185241,"(-121.67333064, 46.602330924)",2001-08-01,2001-08-01 00:00:00,71.0,44.0,57.5,57.5,7.0,0.0,0.0
188,189,WAOWF,OKAN-WEN NF,AMABILIS,00734,116.99950814,2006,UNKNOWN,5096478.1886495,11640.3382676775,"(-121.333333, 47.283333)",2006-10-12,2006-12-10 00:00:00,39.6,30.95,35.275,35.275,29.45,0.0,0.6518333333333332
190,191,WAOWF,OKAN-WEN NF,TROUT,131,139.95743282,2006,EQUIPMENT USE,6096521.3876615,14649.2512062115,"(-121.67333064, 46.602330924)",2006-06-27,2006-06-27 00:00:00,86.0,46.0,66.0,66.0,0.0,1.0,0.0
191,192,WAGPF,GIFFORD PINCHOT NF,LOST LAKE,UNKNOWN,265.02327787,2003,UNKNOWN,11544367.8065,16507.5345910201,"(-121.67333064, 46.602330924)",2003-05-08,2003-05-08 00:00:00,57.0,39.0,48.0,48.0,17.0,0.0,0.03
192,193,WAYAA,BIA - YAKIMA,MILE MARKER 44,100,126.13880661,2004,UNKNOWN,5494584.4373365,15170.7699714392,"(-121.67333064, 46.602330924)",2004-08-11,2004-08-13 00:00:00,89.33333333333333,55.666666666666664,72.5,72.5,0.0,7.666666666666667,0.0
193,194,WAOWF,OKAN-WEN NF,CAPE LABELLE,047,260.35904241,2001,UNKNOWN,11341194.522335,19106.311690310402,"(-121.067222, 48.732778)",2001-08-01,2001-08-01 00:00:00,71.0,52.0,61.5,61.5,3.0,0.0,0.0
194,195,WA,UNKNOWN,AVERY,UNKNOWN,284.03341072,2003,UNKNOWN,12372445.8811485,32819.7816004638,"(-121.67333064, 46.602330924)",2003-07-13,2003-07-13 00:00:00,71.0,59.0,65.0,65.0,0.0,0.0,0.0
195,196,WASES,WA DNR - SE REGION,ROCKY FORD,509,3183.48271274,2006,UNKNOWN,138671952.277299,54979.7546307276,"(-121.333333, 47.283333)",2006-06-28,2006-06-28 00:00:00,72.0,46.0,59.0,59.0,6.0,0.0,0.0
196,197,ORUMF,UMATILLA NF,COTTONWOOD,258,3399.02911089,2007,EQUIPMENT USE,148061115.824266,72822.8105742824,"(-121.333333, 47.283333)",2007-08-18,2008-05-29 00:00:00,41.48863636363637,30.87121212121212,36.17992424242424,36.17992424242424,28.571969696969695,0.007575757575757576,0.23617424242424245
197,198,WAOWF,OKAN-WEN NF,LEMAH,102,649.35772031,2009,LIGHTNING,28285909.1529295,23823.8260532222,"(-121.333333, 47.283333)",2009-07-25,2009-07-25 00:00:00,75.0,56.0,65.5,65.5,0.0,1.0,0.04
198,199,WAOWF,OKAN-WEN NF,SHULL RIDGE,061,211.74649621,2009,LIGHTNING,9223640.480222,16532.6416267414,"(-121.067222, 48.732778)",2009-07-17,2009-07-17 00:00:00,89.0,58.0,73.5,73.5,0.0,9.0,0.0
199,200,WAOWF,OKAN-WEN NF,SABLE,155,542.3959843,2009,LIGHTNING,23626674.5693465,24827.307215784,"(-121.067222, 48.732778)",2009-07-30,2009-07-30 00:00:00,96.0,64.0,80.0,80.0,0.0,15.0,0.0
200,201,WAMSF,MT. BAKER-SNOQ NF,MINERAL PARK,053,403.96614476,2003,UNKNOWN,17596694.878794,18944.5595903195,"(-121.23, 48.67)",2003-08-01,2003-08-01 00:00:00,85.0,55.0,70.0,70.0,0.0,5.0,0.0
201,202,WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,062,536.76631734,2004,LIGHTNING,23381447.2570815,18858.2928624525,"(-121.6906957, 48.64928525)",2004-07-24,2004-07-27 00:00:00,86.25,54.5,70.375,70.375,0.25,5.75,0.0
202,203,WAMSF,MT. BAKER-SNOQ NF,SPRING,082,219.66443002,2009,LIGHTNING,9568544.29758,13495.1350757873,"(-121.7395, 47.8681)",2009-08-26,2009-08-26 00:00:00,73.0,46.0,59.5,59.5,5.0,0.0,0.0
203,204,WAOWF,OKAN-WEN NF,POWDER MOUNTAIN,247,194.43637588,2009,LIGHTNING,8469614.654561,19589.8972686089,"(-121.067222, 48.732778)",2009-07-26,2009-07-26 00:00:00,83.0,61.0,72.0,72.0,0.0,7.0,0.0
204,205,WAOWF,OKAN-WEN NF,FOAM CREEK WFU,061,602.4755335,2008,LIGHTNING,26243729.2639335,27863.053395652398,"(-121.23, 48.67)",2008-08-08,2008-08-08 00:00:00,87.0,58.0,72.5,72.5,0.0,8.0,0.06
205,206,WAMSF,MT. BAKER-SNOQ NF,DOWNEY,063,319.68472309,2004,UNKNOWN,13925410.8359665,15548.1606230335,"(-121.23, 48.67)",2004-08-01,2004-08-01 00:00:00,83.0,55.0,69.0,69.0,0.0,4.0,0.0
206,207,WAMSF,MT. BAKER-SNOQ NF,SONNY BOY,056,391.14601969,2003,UNKNOWN,17038252.464435,19061.6403524142,"(-121.23, 48.67)",2003-08-01,2003-08-01 00:00:00,85.0,55.0,70.0,70.0,0.0,5.0,0.0
207,208,WAMSF,MT. BAKER-SNOQ NF,DOME CREEK,063,229.20416381,2004,UNKNOWN,9984093.4389305,12539.983344046399,"(-121.23, 48.67)",2004-08-01,2004-08-01 00:00:00,83.0,55.0,69.0,69.0,0.0,4.0,0.0
208,209,WAOWF,OKAN-WEN NF,MCCOY,111,484.66368623,2007,UNKNOWN,21111865.724617,21469.3857268917,"(-121.067222, 48.732778)",2007-09-27,2007-09-27 00:00:00,68.0,46.0,57.0,57.0,8.0,0.0,0.0
209,210,WAOWF,OKAN-WEN NF,EIGHTMILE,106,189.89080314,2010,LIGHTNING,8271610.2981515,11974.544022305301,"(-121.333333, 47.283333)",2010-08-18,2010-08-18 00:00:00,68.0,48.0,58.0,58.0,7.0,0.0,0.0
210,211,WAOWF,OKAN-WEN NF,CRYSTAL,122,1284.65082626,2003,UNKNOWN,55959166.154444,47262.3456386597,"(-121.333333, 47.283333)",2003-08-01,2003-08-01 00:00:00,73.0,49.0,61.0,61.0,4.0,0.0,0.0
211,212,WASES,WA DNR - SE REGION,MIDDLE FORK,UNKNOWN,2109.98353987,2003,UNKNOWN,91910515.353394,45320.989352032804,"(-121.67333064, 46.602330924)",2003-08-01,2003-08-01 00:00:00,82.0,50.0,66.0,66.0,0.0,1.0,0.0
212,213,WASES,WA DNR - SE REGION,CARPENTER GULCH,287,120.7232244,2008,MISCELLANEOUS,5258682.620169,10019.1871778595,"(-121.67333064, 46.602330924)",2008-07-09,2008-08-11 00:00:00,79.85185185185185,51.851851851851855,65.85185185185185,65.85185185185185,1.1851851851851851,2.2962962962962963,0.008518518518518519
214,215,WACOA,COLVILLE AGENCY,RATTLESNAKE,070,506.66199677,2013,MISCELLANEOUS,22070108.2983775,19755.498503908602,"(-121.067222, 48.732778)",2013-07-04,2013-07-05 00:00:00,82.0,55.0,68.5,68.5,0.0,4.0,0.0
215,216,WASES,WA DNR - SE REGION,25 MILE,199,2097.80322123,2013,UNKNOWN,91379942.795893,58918.52598459271,"(-121.067222, 48.732778)",2013-07-04,2013-07-08 00:00:00,80.6,56.4,68.5,68.5,0.0,3.8,0.0
216,217,WACOA,COLVILLE AGENCY,HWY 155,118,194.22565463,2013,MISCELLANEOUS,8460435.673792,14281.2208144764,"(-121.067222, 48.732778)",2013-07-10,2013-07-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,218,WANES,WA DNR - NE REGION,KNOX IN THE MIDDLE,642,79.74378985,2013,LIGHTNING,3473625.5914655,7012.34737697794,"(-121.067222, 48.732778)",2013-08-01,2013-08-05 00:00:00,77.2,58.2,67.7,67.7,1.4,4.4,0.054000000000000006
218,219,WANES,WA DNR - NE REGION,KNOX KNOX,650,3.95287959,2013,LIGHTNING,172186.7461925,1900.8464030823602,"(-121.067222, 48.732778)",2013-08-01,2013-08-05 00:00:00,77.2,58.2,67.7,67.7,1.4,4.4,0.054000000000000006
219,220,WAOWF,OKAN-WEN NF,MOORE POINT,366,1573.13792257,2013,LIGHTNING,68525613.8038005,41993.671172115195,"(-121.067222, 48.732778)",2013-07-28,2013-08-03 00:00:00,78.14285714285714,56.857142857142854,67.5,67.5,1.0,3.7142857142857144,0.038571428571428576
220,221,WAYAA,BIA - YAKIMA,MILE MARKER 28,081,26091.66238271,2013,MISCELLANEOUS,1136548267.18398,237574.70466656302,"(-121.67333064, 46.602330924)",2013-07-24,2013-08-04 00:00:00,76.5,52.833333333333336,64.66666666666667,64.66666666666667,1.6666666666666667,1.5833333333333333,0.0
221,222,WASES,WA DNR - SE REGION,EUREKA,106,20835.47526597,2010,UNKNOWN,907589672.216169,187472.67841539803,"(-121.333333, 47.283333)",2010-08-06,2010-08-08 00:00:00,60.666666666666664,49.666666666666664,55.166666666666664,55.166666666666664,9.666666666666666,0.0,0.11
223,224,WAOLP,OLYMPIC NP,HOPPER,010,385.06521319,2010,LIGHTNING,16773373.5929515,26620.8502837484,"(-123.25, 47.474664)",2010-08-05,2010-08-18 00:00:00,76.71428571428571,53.857142857142854,65.28571428571429,65.28571428571429,1.7857142857142858,2.2857142857142856,0.002142857142857143
224,225,WANES,WA DNR - NE REGION,FISH HATCHERY,707,646.51561266,2010,POWER LINE,28162107.438804,42404.4032397705,"(-121.067222, 48.732778)",2010-08-26,2010-08-29 00:00:00,73.25,51.25,62.25,62.25,5.25,2.75,0.025
225,226,WASES,WA DNR - SE REGION,HIWAY 8 FIRE,00543,2018.38353788,2010,POWER LINE,87920435.2271625,65856.02583964431,"(-121.67333064, 46.602330924)",2010-08-26,2010-08-30 00:00:00,66.8,47.4,57.1,57.1,7.4,0.0,0.0
226,227,WANES,WA DNR - NE REGION,SLIDE CREEK,711,990.42358019,2010,POWER LINE,43142678.581954,42841.177156038895,"(-121.067222, 48.732778)",2010-08-26,2010-08-27 00:00:00,78.0,54.5,66.25,66.25,4.0,5.5,0.05
227,228,WACOA,COLVILLE AGENCY,BUFFALO LAKE,163,407.94807233,2010,ARSON,17770146.9499325,24818.041227763002,"(-121.067222, 48.732778)",2010-08-27,2010-08-28 00:00:00,62.5,49.5,56.0,56.0,8.5,0.0,0.05
228,229,WASES,WA DNR - SE REGION,BAIRD SPRINGS,110,7668.88221653,2010,UNKNOWN,334055173.127242,106482.166300455,"(-121.333333, 47.283333)",2010-09-10,2010-09-11 00:00:00,50.5,40.5,45.5,45.5,19.5,0.0,0.0
229,230,WAHNC,HANFORD,FFTF,0742,1266.00595102,2010,UNKNOWN,55146998.6375745,50930.8147402069,"(-121.333333, 47.283333)",2010-08-01,2010-08-01 00:00:00,62.0,49.0,55.5,55.5,9.0,0.0,0.0
232,233,WAWFS,WA FIRE SERVICE,VANSYCLE CANYON,202,4509.45682982,2011,UNKNOWN,196431153.779799,108330.32682430101,"(-121.333333, 47.283333)",2011-08-07,2011-08-07 00:00:00,62.0,48.0,55.0,55.0,10.0,0.0,0.0
233,234,WAOWF,OKAN-WEN NF,TUMWATER CANYON,323,458.11336064,2011,MISCELLANEOUS,19955338.1679525,23488.1933338422,"(-121.333333, 47.283333)",2011-08-18,2011-08-21 00:00:00,72.25,50.25,61.25,61.25,4.75,1.25,0.0
234,235,WANES,WA DNR - NE REGION,SALMON,662,1979.07434739,2011,MISCELLANEOUS,86208133.7385775,54805.7513960686,"(-121.067222, 48.732778)",2011-08-29,2011-08-31 00:00:00,77.33333333333333,54.666666666666664,66.0,66.0,0.6666666666666666,2.0,0.0
235,236,WAOLP,OLYMPIC NP,BIG HUMP,124,1238.08228311,2011,UNKNOWN,53930648.5289715,58802.7344396709,"(-123.25, 47.474664)",2011-09-01,2011-09-16 00:00:00,73.25,50.8125,62.03125,62.03125,3.125,0.4375,0.0
236,237,WAWFS,WA FIRE SERVICE,WISHRAM II,409,9064.45533217,2011,UNKNOWN,394846094.880016,124948.952538553,"(-121.67333064, 46.602330924)",2011-08-29,2011-08-29 00:00:00,68.0,58.0,63.0,63.0,2.0,0.0,0.05
237,238,WASES,WA DNR - SE REGION,MONASTERY COMPLEX,428,3621.14474022,2011,MISCELLANEOUS,157736433.936353,98638.8410202757,"(-121.67333064, 46.602330924)",2011-09-07,2011-09-14 00:00:00,83.0,51.625,67.3125,67.3125,1.125,3.5,0.0
238,239,WANES,WA DNR - NE REGION,BARBER MOUNTAIN,786,814.61351612,2011,UNKNOWN,35484422.8241025,23137.6000842268,"(-121.067222, 48.732778)",2011-09-19,2011-09-19 00:00:00,68.0,50.0,59.0,59.0,6.0,0.0,0.1
239,240,WACOA,COLVILLE AGENCY,KWEI KWEI CREEK,085,625.77331179,2011,UNKNOWN,27258576.427111,26846.515046034,"(-121.067222, 48.732778)",2011-08-06,2011-08-10 00:00:00,76.2,56.4,66.3,66.3,0.4,2.0,0.0
240,241,WANES,WA DNR - NE REGION,MARYLS ROAD,489,408.59884586,2011,UNKNOWN,17798494.531477,24989.554132742698,"(-121.067222, 48.732778)",2011-08-09,2011-08-10 00:00:00,73.5,57.0,65.25,65.25,1.0,1.5,0.0
241,242,WASES,WA DNR - SE REGION,WASHINGTON CREEK,257,245.68283678,2011,UNKNOWN,10701901.562604,18267.7159393812,"(-121.067222, 48.732778)",2011-08-01,2011-08-06 00:00:00,79.33333333333333,53.666666666666664,66.5,66.5,0.5,2.1666666666666665,0.0
242,243,WASPS,WA DNR - SPS REGION,EELS HILL,UNKNOWN,49.9780847,2011,UNKNOWN,2177036.6611475,7645.3675012371,"(-123.25, 47.474664)",2011-08-17,2011-09-10 00:00:00,75.2,51.92,63.56,63.56,2.04,0.76,0.0088
243,244,WASES,WA DNR - SE REGION,NAVARRE,125,602.21934453,2012,MISCELLANEOUS,26232569.7171175,19469.6375895853,"(-121.333333, 47.283333)",2012-07-05,2012-07-06 00:00:00,72.0,47.5,59.75,59.75,5.0,0.0,0.0
244,245,WASPD,SPOKANE BLM,241-BLM,245,4614.20558781,2012,UNKNOWN,200993991.42658,93659.85547727531,"(-121.333333, 47.283333)",2012-07-19,2012-07-19 00:00:00,80.0,50.0,65.0,65.0,0.0,0.0,0.0
245,246,WASPD,SPOKANE BLM,ANTOINE 2,50310,6838.65621357,2012,UNKNOWN,297890673.096799,92506.9642937236,"(-121.067222, 48.732778)",2012-08-05,2012-08-08 00:00:00,91.25,61.5,76.375,76.375,0.0,11.5,0.0
246,247,WACOA,COLVILLE AGENCY,BUFFALO LAKE ROAD,148,11307.50802329,2012,LIGHTNING,492553079.27626,180204.482940872,"(-121.067222, 48.732778)",2012-08-15,2012-08-18 00:00:00,91.0,61.0,76.0,76.0,0.0,11.0,0.0
247,248,WASPD,SPOKANE BLM,DEATH WIND CANYON,50368,824.0437755,2012,LIGHTNING,35895203.2797315,34888.8790001566,"(-121.333333, 47.283333)",2012-08-19,2012-08-19 00:00:00,69.0,50.0,59.5,59.5,5.0,0.0,0.0
